questionLink,questionTitle,questionVotes,questionViews,questionAnsCount
https://stackoverflow.com/questions/122102/what-is-the-most-efficient-way-to-deep-clone-an-object-in-javascript,What is the most efficient way to deep clone an object in JavaScript?,5173,2.5m views,67
https://stackoverflow.com/questions/1694036/why-is-the-gets-function-so-dangerous-that-it-should-not-be-used,Why is the gets function so dangerous that it should not be used?,275,198k views,11
https://stackoverflow.com/questions/332365/how-does-the-sql-injection-from-the-bobby-tables-xkcd-comic-work,"How does the SQL injection from the ""Bobby Tables"" XKCD comic work?",1165,249k views,13
https://stackoverflow.com/questions/7229226/should-i-avoid-the-use-of-setpreferredmaximumminimumsize-methods-in-java-swi,Should I avoid the use of set(Preferred|Maximum|Minimum)Size methods in Java Swing?,497,62k views,9
https://stackoverflow.com/questions/19026884/flexbox-center-horizontally-and-vertically,Flexbox: center horizontally and vertically,843,1.4m views,14
https://stackoverflow.com/questions/3446216/what-is-the-difference-between-single-quoted-and-double-quoted-strings-in-php,What is the difference between single-quoted and double-quoted strings in PHP?,875,424k views,7
https://stackoverflow.com/questions/20035101/why-does-my-javascript-code-receive-a-no-access-control-allow-origin-header-i,"Why does my JavaScript code receive a ""No 'Access-Control-Allow-Origin' header is present on the requested resource"" error, while Postman does not?",2954,5.3m views,9
https://stackoverflow.com/questions/4176328/undefined-behavior-and-sequence-points,Undefined behavior and sequence points,1042,116k views,5
https://stackoverflow.com/questions/114543/how-to-horizontally-center-an-element,How to horizontally center an element,4778,4.5m views,124
https://stackoverflow.com/questions/16959576/reference-what-is-variable-scope-which-variables-are-accessible-from-where-and,"Reference: What is variable scope, which variables are accessible from where and what are ""undefined variable"" errors?",174,54k views,3
https://stackoverflow.com/questions/2587345/why-does-date-parse-give-incorrect-results,Why does Date.parse give incorrect results?,379,486k views,11
https://stackoverflow.com/questions/2118656/commandbutton-commandlink-ajax-action-listener-method-not-invoked-or-input-value,commandButton/commandLink/ajax action/listener method not invoked or input value not set/updated,358,219k views,12
https://stackoverflow.com/questions/500504/why-is-using-for-in-for-array-iteration-a-bad-idea,"Why is using ""for...in"" for array iteration a bad idea?",1978,931k views,27
https://stackoverflow.com/questions/54069253/usestate-set-method-not-reflecting-change-immediately,useState set method not reflecting change immediately,518,414k views,17
https://stackoverflow.com/questions/359494/which-equals-operator-vs-should-be-used-in-javascript-comparisons,Which equals operator (== vs ===) should be used in JavaScript comparisons?,5656,2.0m views,48
https://stackoverflow.com/questions/986006/how-do-i-pass-a-variable-by-reference,How do I pass a variable by reference?,3024,1.7m views,34
https://stackoverflow.com/questions/3552461/how-to-format-a-javascript-date,How to format a JavaScript date,2962,5.3m views,59
https://stackoverflow.com/questions/23740548/how-do-i-pass-variables-and-data-from-php-to-javascript,How do I pass variables and data from PHP to JavaScript?,736,916k views,19
https://stackoverflow.com/questions/383947/what-does-it-mean-to-program-to-an-interface,"What does it mean to ""program to an interface""?",877,200k views,32
https://stackoverflow.com/questions/2185252/reshaping-data-frame-from-wide-to-long-format,Reshaping data.frame from wide to long format,209,199k views,9
https://stackoverflow.com/questions/10067266/when-should-i-wrap-quotes-around-a-shell-variable,When should I wrap quotes around a shell variable?,242,108k views,5
https://stackoverflow.com/questions/36247140/why-dont-flex-items-shrink-past-content-size,Why don't flex items shrink past content size?,441,115k views,3
https://stackoverflow.com/questions/518000/is-javascript-a-pass-by-reference-or-pass-by-value-language,Is JavaScript a pass-by-reference or pass-by-value language?,1591,455k views,33
https://stackoverflow.com/questions/23446377/syntax-error-due-to-using-a-reserved-word-as-a-table-or-column-name-in-mysql,Syntax error due to using a reserved word as a table or column name in MySQL,48,181k views,1
https://stackoverflow.com/questions/22519784/how-do-i-convert-an-existing-callback-api-to-promises,How do I convert an existing callback API to promises?,812,277k views,24
https://stackoverflow.com/questions/20940979/what-is-an-indexoutofrangeexception-argumentoutofrangeexception-and-how-do-i-f,What is an IndexOutOfRangeException / ArgumentOutOfRangeException and how do I fix it?,210,250k views,4
https://stackoverflow.com/questions/4736/learning-regular-expressions,Learning Regular Expressions [closed],166,137k views,1
https://stackoverflow.com/questions/409784/whats-the-simplest-way-to-print-a-java-array,What's the simplest way to print a Java array?,2207,2.8m views,34
https://stackoverflow.com/questions/336859/var-functionname-function-vs-function-functionname,var functionName = function() {} vs function functionName() {},7353,1.1m views,41
https://stackoverflow.com/questions/7674786/how-can-i-return-pivot-table-output-in-mysql,How can I return pivot table output in MySQL?,354,422k views,10
https://stackoverflow.com/questions/17874717/providing-white-space-in-a-swing-gui,Providing white space in a Swing GUI,167,54k views,6
https://stackoverflow.com/questions/17364127/how-can-i-sort-arrays-and-data-in-php,How can I sort arrays and data in PHP?,313,82k views,13
https://stackoverflow.com/questions/19896870/why-is-my-spring-autowired-field-null,Why is my Spring @Autowired field null?,701,597k views,21
https://stackoverflow.com/questions/4968406/javascript-property-access-dot-notation-vs-brackets,JavaScript property access: dot notation vs. brackets?,457,172k views,15
https://stackoverflow.com/questions/2091465/how-do-i-pass-data-between-activities-in-android-application,How do I pass data between Activities in Android application?,1466,1.1m views,53
https://stackoverflow.com/questions/9508518/why-are-these-numbers-not-equal,Why are these numbers not equal?,287,56k views,6
https://stackoverflow.com/questions/3988788/what-is-a-stack-trace-and-how-can-i-use-it-to-debug-my-application-errors,"What is a stack trace, and how can I use it to debug my application errors?",743,523k views,7
https://stackoverflow.com/questions/204476/what-should-main-return-in-c-and-c,What should main() return in C and C++?,793,403k views,18
https://stackoverflow.com/questions/5240789/scanf-leaves-the-newline-character-in-the-buffer,scanf() leaves the newline character in the buffer,118,109k views,6
https://stackoverflow.com/questions/1461432/what-is-array-to-pointer-decay,What is array to pointer decay?,450,79k views,11
https://stackoverflow.com/questions/29140402/how-do-i-print-my-java-object-without-getting-sometype2f92e0f4,"How do I print my Java object without getting ""SomeType@2f92e0f4""?",370,440k views,13
https://stackoverflow.com/questions/98650/what-is-the-strict-aliasing-rule,What is the strict aliasing rule?,904,247k views,11
https://stackoverflow.com/questions/375913/how-can-i-profile-c-code-running-on-linux,How can I profile C++ code running on Linux?,2030,618k views,19
https://stackoverflow.com/questions/3076414/ways-to-circumvent-the-same-origin-policy,Ways to circumvent the same-origin policy,150,689k views,11
https://stackoverflow.com/questions/14994391/thinking-in-angularjs-if-i-have-a-jquery-background,"""Thinking in AngularJS"" if I have a jQuery background? [closed]",4510,846k views,15
https://stackoverflow.com/questions/562303/the-definitive-c-book-guide-and-list,The Definitive C Book Guide and List,400,521k views,1
https://stackoverflow.com/questions/2745265/is-listdog-a-subclass-of-listanimal-why-are-java-generics-not-implicitly-po,Is List<Dog> a subclass of List<Animal>? Why are Java generics not implicitly polymorphic?,841,125k views,19
https://stackoverflow.com/questions/1817792/is-there-a-previous-sibling-selector,"Is there a ""previous sibling"" selector?",1625,892k views,26
https://stackoverflow.com/questions/1887097/why-arent-variable-length-arrays-part-of-the-c-standard,Why aren't variable-length arrays part of the C++ standard?,406,178k views,13
https://stackoverflow.com/questions/32551291/in-css-flexbox-why-are-there-no-justify-items-and-justify-self-properties,"In CSS Flexbox, why are there no ""justify-items"" and ""justify-self"" properties?",908,297k views,6
https://stackoverflow.com/questions/5963269/how-to-make-a-great-r-reproducible-example,How to make a great R reproducible example,2468,381k views,23
https://stackoverflow.com/questions/218384/what-is-a-nullpointerexception-and-how-do-i-fix-it,"What is a NullPointerException, and how do I fix it?",209,3.5m views,12
https://stackoverflow.com/questions/14220321/how-to-return-the-response-from-an-asynchronous-call,How to return the response from an asynchronous call,6273,1.9m views,42
https://stackoverflow.com/questions/60174/how-can-i-prevent-sql-injection-in-php,How can I prevent SQL injection in PHP?,2773,2.0m views,28
https://stackoverflow.com/questions/1732348/regex-match-open-tags-except-xhtml-self-contained-tags,RegEx match open tags except XHTML self-contained tags,1920,3.3m views,37
https://stackoverflow.com/questions/4660142/what-is-a-nullreferenceexception-and-how-do-i-fix-it,"What is a NullReferenceException, and how do I fix it?",1873,1.8m views,27
https://stackoverflow.com/questions/588004/is-floating-point-math-broken,Is floating point math broken?,3542,443k views,31
https://stackoverflow.com/questions/513832/how-do-i-compare-strings-in-java,How do I compare strings in Java?,724,4.3m views,23
https://stackoverflow.com/questions/388242/the-definitive-c-book-guide-and-list,The Definitive C++ Book Guide and List,4235,2.8m views,1
https://stackoverflow.com/questions/4261133/notice-undefined-variable-notice-undefined-index-and-notice-undefined,"""Notice: Undefined variable"", ""Notice: Undefined index"", and ""Notice: Undefined offset"" using PHP",1313,2.0m views,30
https://stackoverflow.com/questions/12573816/what-is-an-undefined-reference-unresolved-external-symbol-error-and-how-do-i-fix,What is an undefined reference/unresolved external symbol error and how do I fix it?,1681,752k views,37
https://stackoverflow.com/questions/12859942/why-shouldnt-i-use-mysql-functions-in-php,Why shouldn't I use mysql_* functions in PHP?,2641,243k views,13
https://stackoverflow.com/questions/18050071/php-parse-syntax-errors-and-how-to-solve-them,PHP parse/syntax errors; and how to solve them,732,733k views,20
https://stackoverflow.com/questions/203198/event-binding-on-dynamically-created-elements,Event binding on dynamically created elements?,1675,999k views,23
https://stackoverflow.com/questions/605845/do-i-cast-the-result-of-malloc,Do I cast the result of malloc?,2641,295k views,29
https://stackoverflow.com/questions/750486/javascript-closure-inside-loops-simple-practical-example,JavaScript closure inside loops – simple practical example,3083,441k views,44
https://stackoverflow.com/questions/20279484/how-to-access-the-correct-this-inside-a-callback,How to access the correct `this` inside a callback,1712,538k views,13
https://stackoverflow.com/questions/10714251/how-to-avoid-using-select-in-excel-vba,How to avoid using Select in Excel VBA,589,340k views,16
https://stackoverflow.com/questions/22937618/reference-what-does-this-regex-mean,Reference - What does this regex mean?,52,162k views,1
https://stackoverflow.com/questions/23667086/why-is-my-variable-unaltered-after-i-modify-it-inside-of-a-function-asynchron,Why is my variable unaltered after I modify it inside of a function? - Asynchronous code reference,855,258k views,6
https://stackoverflow.com/questions/12769982/reference-what-does-this-error-mean-in-php,Reference - What does this error mean in PHP?,1227,247k views,37
https://stackoverflow.com/questions/1452721/why-is-using-namespace-std-considered-bad-practice,"Why is ""using namespace std;"" considered bad practice?",3058,1.0m views,41
https://stackoverflow.com/questions/24644436/php-mail-function-doesnt-complete-sending-of-e-mail,PHP mail function doesn't complete sending of e-mail,534,457k views,29
https://stackoverflow.com/questions/8028957/how-to-fix-headers-already-sent-error-in-php,"How to fix ""Headers already sent"" error in PHP",831,1.7m views,11
https://stackoverflow.com/questions/20109391/how-to-make-good-reproducible-pandas-examples,How to make good reproducible pandas examples,220,39k views,5
https://stackoverflow.com/questions/40480/is-java-pass-by-reference-or-pass-by-value,"Is Java ""pass-by-reference"" or ""pass-by-value""?",7327,2.4m views,92
https://stackoverflow.com/questions/279170/utf-8-all-the-way-through,UTF-8 all the way through,1292,180k views,15
https://stackoverflow.com/questions/11321491/when-to-use-single-quotes-double-quotes-and-backticks-in-mysql,"When to use single quotes, double quotes, and backticks in MySQL",724,254k views,14
